Timestamp,Type,Diameter
2023-11-d 13:30:10,Small Apple,0.0012816728005679674cm
2023-11-d 13:30:11,Bad Apple,0.001291107907365308cm
2023-11-d 13:30:11,Bad Apple,0.0013147123062797717cm
2023-11-d 13:30:11,Bad Apple,0.0012899879642895714cm
2023-11-d 13:30:12,Bad Apple,0.0012996121958615192cm
2023-11-d 13:30:12,Small Apple,0.001241916361868121cm
2023-11-d 13:30:13,Bad Apple,0.0013012464552627102cm
2023-11-d 13:30:14,Bad Apple,0.0012977875765474525cm
2023-11-d 13:30:14,Bad Apple,0.0012847552406230276cm
2023-11-d 13:30:15,Bad Apple,0.001373563486975846cm
2023-11-d 13:30:16,Bad Apple,0.0013128688403191515cm
2023-11-d 13:30:17,Bad Apple,0.001336764300342852cm
2023-11-d 13:30:19,Bad Apple,0.001301977478916684cm
2023-11-d 13:30:20,Bad Apple,0.0013423075091984215cm
2023-11-d 13:30:20,Bad Apple,0.0013542906886766604cm
2023-11-d 13:30:20,Bad Apple,0.0013479221988100466cm
